NOME;IDADE;MUNICIPIO
AARAO LOURENCO VIEIRA;42;PARNAMIRIM
ABADIA JOAO PRATES;58;ANGICUS
ABBADIA FRANCO CARDOSO;78;NATAL
ABDI CADMIEL SOZIM DE LIMA;26;ANGICUS
ABDIAS ALVES;60;CAMPO REDONDO
ABDIAS BISPO OLIVEIRA;67;SAO TOME
ABDIAS CEZARIO DE SANTOS;67;CERRO CORA
ABDO MASSIHI TANUS;88;SAO TOME
ABEL ELIAS JOAO E SILVA;44;ANGICUS
ABEL LAURENTINO ALVES;84;NATAL
ABEL PEREIRA AMARO;66;NATAL
ABEL VICENTE MORALES GARCIA;49;ANGICUS
ABEL ZORZETTO FILHO;60;NATAL
ABELINA MERCURIO BERTAZZO;87;NATAL
ABGAIR ZANELATO PAGANINI;74;NATAL
ABIGAIL CHRISOSTOMO GALVAO;100;SANTO ANTONIO
ABIGAIL DUARTE HAG MUSSI GIL;66;SAO TOME
ABIGAIL FERNANDA LIMA SANTOS;12;NATAL
ABIGAIL POMBAL VIEIRA;65;NATAL
ABILIA RODRIGUES MONTAGNA;75;CAMPO REDONDO
ABILIO AUDICEU ESPINHOSA;75;NATAL
ABILIO BIONDO BOSSA;77;NATAL
ABILIO CERRO CORA MONTES GONCALVES;59;NATAL
ABILIO DE SANTOS MORTENSEN;31;NATAL
ABILIO FRANCISCO DA SILVA;50;MACA÷BA
ABILIO JOAO PELISSARI;81;NATAL
ABILIO RODRIGUES;77;NATAL
ABILIO ROEFERO;75;CERRO CORA
ABIMAEL DA SILVA BARBOZA;37;ANGICUS
ABMAEL LIMA DOS SANTOS;60;SAO TOME
ABNER AMERICO SIMEONI;29;SAO TOME
ABNER AUGUSTO ANDRADE PEREIRA;11;NATAL
ABNER MOSCATELLI MAURICIO;21;NATAL
ABNER SILVA RODRIGUES;3;CAMPO REDONDO
ABRAAO SOARES SILVA JUNIOR;29;CAMPO REDONDO
ABRAO JORGE KATER;77;NATAL
ACACIO APARECIDO LIVISOTO;42;NATAL
ACACIO AUGUSTO BEZELGA FILHO;43;CAMPO REDONDO
ACACIO KLEY DA SILVA;43;NATAL
ACACIO LIMA DOS SANTOS;61;RIO DO FOGO
ACARI ALVES DA SILVA;66;CAMPO REDONDO
